Id,Label,Colour,Tags,Title,URL,Community_Python,Degree,Betweenness,Modularity_Class_Gephi
RU2045445C1,RU2045445C1,current,similar-only,КОМПЛЕКС ДЛЯ ПОДЪЕМА ЗАТОНУВШЕГО ОБЪЕКТА Российский патент 1995 года по МПК B63C7/00,https://patenton.ru/patent/RU2045445C1,662,0.000127,0.0,2
RU2045669C1,RU2045669C1,current,similar-only,КОМБИНИРОВАННЫЙ ДВИГАТЕЛЬ Российский патент 1995 года по МПК F02B75/26 F02B41/10 F02B25/08,https://patenton.ru/patent/RU2045669C1,454,0.00089,0.000494,253
RU2046210C1,RU2046210C1,current,similar-only,ЭЛЕКТРОРАКЕТНЫЙ ДВИГАТЕЛЬ БОГДАНОВА Российский патент 1995 года по МПК F03H5/00,https://patenton.ru/patent/RU2046210C1,253,0.000254,0.000327,185
RU2046257C1,RU2046257C1,current,similar-only,УСТАНОВКА ДЛЯ КОСВЕННО-ИСПАРИТЕЛЬНОГО ОХЛАЖДЕНИЯ Российский патент 1995 года по МПК F24F3/14,https://patenton.ru/patent/RU2046257C1,115,0.000127,0.0,66
RU2046324C1,RU2046324C1,current,similar-only,"УСТРОЙСТВО ДЛЯ ОБНАРУЖЕНИЯ ВЗРЫВЧАТЫХ ВЕЩЕСТВ В КОНТРОЛИРУЕМЫХ ПРЕДМЕТАХ, ПРЕИМУЩЕСТВЕННО В АВИАБАГАЖЕ Российский патент 1995 года по МПК G01N23/222",https://patenton.ru/patent/RU2046324C1,139,0.000127,0.0,89
RU2046619C1,RU2046619C1,current,similar-only,УСТРОЙСТВО ДЛЯ ТРЕНИРОВКИ ГРЕБЦОВ Российский патент 1995 года по МПК A63B69/06,https://patenton.ru/patent/RU2046619C1,163,0.000127,0.0,112
RU2046994C1,RU2046994C1,current,parsed,СПОСОБ ПРЕОБРАЗОВАНИЯ ЭНЕРГИИ КАЧКИ ПЛАВАЮЩЕГО СРЕДСТВА Российский патент 1995 года по МПК F03B13/12 F03B13/22,https://patenton.ru/patent/RU2046994C1,359,0.000635,0.000164,157
RU2047279C1,RU2047279C1,current,similar-only,ВОЛОКОННО-ОПТИЧЕСКИЙ ПРЕОБРАЗОВАТЕЛЬ ГИДРОФИЗИЧЕСКИХ ПАРАМЕТРОВ МОРСКОЙ СРЕДЫ Российский патент 1995 года по МПК H04R1/44,https://patenton.ru/patent/RU2047279C1,190,0.000127,0.0,121
RU2047566C1,RU2047566C1,current,similar-only,СПОСОБ СНИЖЕНИЯ КОНЦЕНТРАЦИИ ЭМУЛЬГИРОВАННЫХ В ВОДЕ НЕФТЕПРОДУКТОВ Российский патент 1995 года по МПК C02F1/36 B01J19/10,https://patenton.ru/patent/RU2047566C1,1,0.000127,0.0,80
RU2047572C1,RU2047572C1,current,similar-only,АЭРАТОР Российский патент 1995 года по МПК C02F3/20,https://patenton.ru/patent/RU2047572C1,2,0.000127,0.0,697
RU2048096C1,RU2048096C1,current,similar-only,СПОСОБ ВЫБОРКИ РЕЧНЫХ ЗАКИДНЫХ НЕВОДОВ Российский патент 1995 года по МПК A01K79/00,https://patenton.ru/patent/RU2048096C1,148,0.000127,0.0,649
RU2048371C1,RU2048371C1,current,similar-only,УСТРОЙСТВО ДЛЯ ТРАНСПОРТИРОВКИ ЖИДКИХ ГРУЗОВ Российский патент 1995 года по МПК B63B35/00,https://patenton.ru/patent/RU2048371C1,80,0.000127,0.0,41
RU2048375C1,RU2048375C1,current,similar-only,СЦЕПНОЕ УСТРОЙСТВО МОДУЛЬНОГО СУДНА Российский патент 1995 года по МПК B63B35/38,https://patenton.ru/patent/RU2048375C1,359,0.000381,0.000105,489
RU2048376C1,RU2048376C1,current,similar-only,ПАРОМ ДЛЯ ПЕРЕВОЗКИ АВТОМОБИЛЯ Российский патент 1995 года по МПК B63B35/54 B63H21/175,https://patenton.ru/patent/RU2048376C1,496,0.000508,7.9e-05,157
RU2048377C1,RU2048377C1,current,similar-only,ВОДНО-ЛЫЖНЫЙ ТРЕНАЖЕР Российский патент 1995 года по МПК B63B35/73 B63B35/81 G09B9/06,https://patenton.ru/patent/RU2048377C1,512,0.000763,0.000138,515
RU2048411C1,RU2048411C1,current,similar-only,СПОСОБ ОТВЕРЖДЕНИЯ НЕФТИ В ЕМКОСТИ ПРИ ТРАНСПОРТИРОВКЕ И УСТРОЙСТВО ДЛЯ ЕГО ОСУЩЕСТВЛЕНИЯ Российский патент 1995 года по МПК B65G69/20 B65D88/74,https://patenton.ru/patent/RU2048411C1,16,0.000127,0.0,6
RU2048421C1,RU2048421C1,current,similar-only,ЭЛЕКТРОМЕХАНИЧЕСКИЙ РАЗВОРОТЧИК-УСПОКОИТЕЛЬ РАСКАЧИВАНИЯ ГРУЗОЗАХВАТНОГО ОРГАНА Российский патент 1995 года по МПК B66C13/06,https://patenton.ru/patent/RU2048421C1,620,0.000127,0.0,104
RU2049014C1,RU2049014C1,current,similar-only,ТРИМАРАН Российский патент 1995 года по МПК B63B1/10,https://patenton.ru/patent/RU2049014C1,163,0.000127,0.0,112
RU2049018C1,RU2049018C1,current,parsed,УСТРОЙСТВО ДЛЯ ПОДАВЛЕНИЯ БРЫЗГОВОГО ПОТОКА Российский патент 1995 года по МПК B63B59/00,https://patenton.ru/patent/RU2049018C1,496,0.000508,6.7e-05,153
RU2049021C1,RU2049021C1,current,parsed,СУДОВОЙ СЕКТОРНЫЙ РУМПЕЛЬ Российский патент 1995 года по МПК B63H25/10 B63H25/34,https://patenton.ru/patent/RU2049021C1,211,0.000508,4.1e-05,276
RU2049543C1,RU2049543C1,current,similar-only,АДСОРБЕНТ НЕФТИ И НЕФТЕПРОДУКТОВ ДЛЯ ОЧИСТКИ ВОДЫ И ПОЧВЫ Российский патент 1995 года по МПК B01J20/22,https://patenton.ru/patent/RU2049543C1,16,0.000127,0.0,6
RU2049885C1,RU2049885C1,current,similar-only,СПОСОБ ПАРКОВКИ АВТОМОБИЛЕЙ И УСТРОЙСТВО ДЛЯ ЕГО ОСУЩЕСТВЛЕНИЯ Российский патент 1995 года по МПК E04H6/00,https://patenton.ru/patent/RU2049885C1,200,0.000127,0.0,146
RU2050086C1,RU2050086C1,current,similar-only,АГРЕГАТ ДЛЯ ВОЗДЕЛЫВАНИЯ РАСТЕНИЙ НА КРУГОВОМ АГРОУГОДЬЕ Российский патент 1995 года по МПК A01B49/00,https://patenton.ru/patent/RU2050086C1,526,0.000127,0.0,240
RU2050306C1,RU2050306C1,current,similar-only,ПАРУСНОЕ ВООРУЖЕНИЕ МАЧТОВОГО СУДНА Российский патент 1995 года по МПК B63H9/00,https://patenton.ru/patent/RU2050306C1,682,0.000254,0.0,112
RU2050466C1,RU2050466C1,current,similar-only,ВЕТРОДВИГАТЕЛЬ И ГИДРОГЕНЕРАТОР Российский патент 1995 года по МПК F03D7/06,https://patenton.ru/patent/RU2050466C1,682,0.000127,0.0,521
RU2050615C1,RU2050615C1,current,parsed,ВЫСОКОВОЛЬТНЫЙ КОНДЕНСАТОР Российский патент 1995 года по МПК H01G4/00,https://patenton.ru/patent/RU2050615C1,3,0.000381,1e-06,33
RU2050707C1,RU2050707C1,current,similar-only,СПОСОБ УПРАВЛЕНИЯ ГАЗОВЫМ РАЗРЯДОМ Российский патент 1995 года по МПК H05B41/16,https://patenton.ru/patent/RU2050707C1,692,0.000127,0.0,688
RU2051057C1,RU2051057C1,current,similar-only,ОДНОКОЛЕСНОЕ ТРАНСПОРТНОЕ СРЕДСТВО Российский патент 1995 года по МПК B62D57/00,https://patenton.ru/patent/RU2051057C1,4,0.000127,0.0,621
RU2051060C1,RU2051060C1,current,similar-only,ПОЛИМАРАН Российский патент 1995 года по МПК B63B1/12,https://patenton.ru/patent/RU2051060C1,163,0.000254,0.0,112
RU2051061C1,RU2051061C1,current,similar-only,ПОЛИМАРАН Российский патент 1995 года по МПК B63B1/12,https://patenton.ru/patent/RU2051061C1,163,0.000254,4e-06,112
RU2053155C1,RU2053155C1,current,similar-only,ПОЛИМАРАН Российский патент 1996 года по МПК B63B1/12,https://patenton.ru/patent/RU2053155C1,163,0.000127,0.0,112
RU2053156C1,RU2053156C1,current,similar-only,СУДНО НА ПОДВОДНЫХ КРЫЛЬЯХ Российский патент 1996 года по МПК B63B1/24,https://patenton.ru/patent/RU2053156C1,234,0.000127,0.0,546
RU2053486C1,RU2053486C1,current,similar-only,УСТРОЙСТВО ДЛЯ ИЗМЕРЕНИЯ РАСХОДА ГАЗА Российский патент 1996 года по МПК G01F3/22,https://patenton.ru/patent/RU2053486C1,150,0.000127,0.0,97
RU2054012C1,RU2054012C1,current,parsed,КОМПОЗИЦИЯ ДЛЯ ПОЛУЧЕНИЯ ЭЛАСТИЧНОГО ПЕНОПОЛИУРЕТАНА Российский патент 1996 года по МПК C08G18/69 C08G18/69 C08G101/00,https://patenton.ru/patent/RU2054012C1,5,0.000381,0.0,197
RU2054114C1,RU2054114C1,current,similar-only,СВЕТОЗАЩИТНЫЕ ЖАЛЮЗИ Российский патент 1996 года по МПК E06B9/30,https://patenton.ru/patent/RU2054114C1,163,0.000127,0.0,112
RU2054127C1,RU2054127C1,current,similar-only,ДВУХТАКТНЫЙ ДВИГАТЕЛЬ ВНУТРЕННЕГО СГОРАНИЯ Российский патент 1996 года по МПК F02B17/00,https://patenton.ru/patent/RU2054127C1,7,0.000127,0.0,3
RU2054128C1,RU2054128C1,current,similar-only,ДВУХТАКТНЫЙ ДВИГАТЕЛЬ ВНУТРЕННЕГО СГОРАНИЯ Российский патент 1996 года по МПК F02B33/00 F02B33/02,https://patenton.ru/patent/RU2054128C1,7,0.000127,0.0,3
